제목,날짜,abstract
촉각을 통한 이해와 소통 그리고 미술교육의 역할,2014.1,"본 논의에서는 촉각의 본질과 기능 그리고 그 활용가능성을 중심으로 탐색해보고, 미술교육의 역할에 대해서 살펴보았다.  논의의 결과 촉각은 신체지각을 통해 세상을 이해하고소통하는, 느낌을 통해 감각적으로 경험하고 이해하는 체화된 인지의 한 형태로 이해될 수 있다.  촉각은 신생아들의 발달에 결정적인 역할을 하고, 친밀감, 보호, 지지, 현존의 느낌을 제공하여, 우리의 안녕감과 건강에 중요한 기능을 수행하는 것으로 알려졌다.  촉각은 생물학적, 정서적, 인지적으로 작용하고 그리고 소통의 기능을 수행하여행동, 사고 그리고 치료에 결정적인 역할을 수행한다.  미술교육이 우리가 살고 있는세계와 소통할 수 있도록 세계에 대한 우리의 관계, 타인에 대한 우리의 관계를 더욱의미있게 구성하도록 돕는 것이라면 촉각에 의한 경험의 본질과 그 활용가능성을 탐색하고, 그리고 이와 같은 감성적 능력을 개발하는 것은 미술교육의 중요한 역할이라고할 수 있다."
우울 감소를 위한 집단치료 프로그램의 효과에 대한 메타분석,2014.1,"본 연구는 대학생과 성인 및 노인을 대상으로 한 우울감소를 위한 집단치료 프로그램의 효과성을 검증하는데 그 목적이 있으며, 2003년부터 2012년까지 논문을 분석대상으로 하여 무선효과모형(Random Effects Model)을 적용하여 메타분석하였다.  연구결과 우울 감소 집단치료 프로그램은 통계적으로 유의한 평균효과가 있으며, Cohen의 효과크기 해석에 따라 큰 효과크기임이 확인되었다.  또한 집단치료 프로그램 진행내용에 따른 평균효과크기에서는 구성원에 따라 프로그램 효과가 차이가 있으며 대학생과 성인보다 노인의 경우 효과크기가 더 크게 나타났다.  심리치료 프로그램 유형에서는 마음챙김명상, 미술치료, 무용/동작치료 순으로 큰 평균효과크기를 나타내었으며, 우울외 주요 심리적 종속변인에서는 자아통합감, 자아존중감, 불안, 스트레스, 심리적 안녕감 순으로 나타났다.  마지막으로, 프로그램 진행절차에 따른 평균효과크기에서 집단의 크기는 10명 이하, 총 진행회기 수는 11회기 이상, 총 실시시간은 6∼10주, 주당 회기 수는 주1회, 1회기 진행시간은 60분 이하일 경우에 효과크기가 크게 나타났다."
자폐스펙트럼장애 아동을 대상으로 한 단일대상 미술매개 중재 효과의 메타분석,2020.1,"본 연구에서는 국내외에서 시행된 자폐스펙트럼장애 아동의 미술매개 중재의 효과성에 대한 단일대상 연구 만을 중심으로 하여 메타분석(meta-analysis)을 실시하였다.  1998년 8월∼2018년 8월까지 국내외에서 출 간된 자폐스펙트럼장애 아동의 미술매개 중재 관련 논문을 수집하여 포함 및 배제준거에 따라 총 18편의 단일대상 연구 논문을 선정하였다.  선행연구를 참고하여 분석틀을 설정하여 평정하였고, 95. 1%의 양호한 평정자간 일치도가 나타났다.  또한 연구 환경, 조건, 대상의 특성 등에 따른 차이검정을 위해 ANOVA 검정을 사용하였다."
따돌림 받은 초등아동 대상 통합적 예술심리치료에 대한 현상학적 연구,2019.1,"본 연구는 초등 저학년과 중학년 시기에 따돌림을 받은 아동을 대상으로 통합적예술심리치료를 하고 이를 현상학적 연구 방법을 적용하여 결과를 도출하였다.  연구 결과로 주제 ʻ수풀에 가린 웅덩이에 빠진 아이의 호소ʼ, 상위 범주 3개, 하위범주 10개가 도출되었다.  상위범주는 ʻ관계 단절ʼ, ʻ신체 증상ʼ, ʻ변화의 힘ʼ이다.  관계단절의 경우, 따돌림 피해 아동들은 대인 관계에서 단절을 경험하고, 자기표현에어려움을 가졌다.  그럼에도 불구하고 또래 집단에 소속되고자 또래에 다가가는모습을 보였다."
미술심리상담사의 발달수준과 심리적 소진의 관계: 자기돌봄과 자기성찰의 매개효과를 중심으로,2018.1,"본 연구는 미술심리상담자의 발달수준이 심리적 소진에 영향을 미치는 과정에서 자기돌봄과 자기성찰의 매개효과를 검정하는데 목적이 있다.  이를 위하여 경력 6개월 이상의 미술심리상담자 191명의 자료를 분석하였으며, 측정도구는 미술심리상담자 일반적 특성에 대한 질문지, 상담자 발달수준 척도와 심리적 소진 척도, 상담자자기돌봄 척도, 자기성찰 척도를 사용하여 측정하였다.  수집된 자료를 토대로 일원변량분석과 Scheffe 사후검정을 실시하여 미술심리상담자의 특성에 따른 변인 간의 차이를 확인하였다.  또한 각 변인들 간의 관련성을 파악하기 위해 상관분석을 실시하였고, 구조방정식을 통해 연구모형의 적합도와 매개효과를 확인하였다.  본 연구의 결과는 다음과 같다."
집단미술놀이활동이 유아의 창의성 증진에 미치는 효과,2019.1,"이에 본 연구는 집단미술놀이 활동이 유아의 창의성 증진에 미치는 효과를 살펴보고자 실시되었다.  연구 대상은 K시 Y유치원의 6∼7세반에 재원중이며 집단미술놀이 프로그램의 목적에 동의하여 학부모들이 참여 동의서를 제출한 유아 14명을 대상으로 실시하였다.  본 프로그램은 주 1회씩, 60분간 총 10회기 동안 실시되었으며, 연구자외 관찰자 2명이 참여하였다.  유아의 창의성 변화를 살펴보기 위해 프로그램 실시전 일주일 전과 일주일 후, 유아종합창의성검사를 실시하여 그 효과를 검정하였다.  그 결과 집단미술놀이 활동은 유아의 창의성 증진에 효과적이었음을 보여주었다."
폭력가정의 아동과 어머니를 위한 집단미술활동에 대한 질적 연구,2014.1,"본 연구의 목적은 폭력가정의 아동과 그 어머니를 대상으로 집단미술활동을 실시한 후 그에 대한 경험의 본질과 의미를 알아보는데 있다.  이를 위해 K시의 가정폭력피해자보호시설에 거주하는 아동 8명과 어머니 4명을 대상으로 프로그램을 실시하였으며, 또한 심층면접을 진행한 후 Colaizzi 현상학적 연구방법으로 분석하였다.  분석결과 폭력가정아동은 7개의 주제묶음이 도출되었고, 폭력가정의 어머니는 3개의 주제 묶음이 도출되었다.  즉, '그때의 공포가 아직도 되살아남', '새 친구와 적응하는 것이 버거움', '엄마에게 이해받고 싶음', '왜곡된 방법으로 표현함', '배려하는 마음이 생김', '자신감이 생김', '행복한 가정에 대한 꿈을 가짐' 등이었다.  그리고 폭력가정 어머니의 주제묶음은 '불행의 시작이 된 결혼생활', '자녀양육의 기준이 없음', '안정을 찾아감' 등이었다."
哲學治療를 위한 <莊子>的 藝術治療,2016.1,"오늘날 인문학의 새로운 영역으로서 철학치료는 학제간 통합적, 실천적 학문이며 동시에인간에 대한 탐구와 삶의 의미에 대한 재해석, 지혜의 깨달음 같은 인문주의를 보전하면서 새롭게 추구하고 있다.  이런 의미에서 철학치료는 고유의 기반을 특정한 사회과학적, 자연과학적, 의학적 이론이나 방법론을 넘어서고자 한다.  특히 <장자(莊子)>는 이미 '치유적(治癒的) 성격'을 띠고 있었다고 해도 과언이 아닐 것이다.  회화(繪畵, 그리기)는 고대부터 학문적 영역을 제외한다면 누구나 손쉽게 행해지던 소통의수단이었다.  우리가 언어적 소통이 시작되기 전부터 이미 그리는 행위는 정서적 건강함을 유지하거나 발달시키기 위해 가정에서조차도 행해졌음은 주지의 사실이다."
키덜티즘의 회화적 표현과 확장성 -연구자의 작품 분석을 중심으로-,2023.12,"본 연구는 현대미술에서 나타나는 키덜티즘의 조형적 특징과 요소들을 주목하고 키덜티즘의 발생 배경 및 사회・문화적 특징의 이해와 더불어 미술 분야의 영역에서 시도하는 회화적 표현의 기법과 의미에 관하여 연구자 본인의 작품을 중심으로 설명하고 해석하는 데에 목적이 있다.   먼저 키덜티즘의 사회현상을 이해하기 위해 키덜트의 의미와 발생 요인을 알아본다.  그 문화적 특징을 이해하고 현대미술에서 보여지는 키덜티즘에 대한 연구를 수행하고 캐릭터의 표현과 의미, 팝아트의 차용, 그라피티 등 본 연구자의 작품들을 중심으로 다양한 측면에서 분석함으로써 키덜티즘의 조형적 특징을 이해하고 해석한다.   본 연구는 사회 전반에 나타나는 키덜티즘의 확산과 문화적 영향 속에서 미술 작품이 현대인에게 어떻게 창의성과 정서적 안정을 회복하도록 영향을 주는지 탐구한다.  본 논문에서는 키덜티즘을 반영한 미술작품이 유년시절의 동심을 되살리는 장치로 활용됨으로써 현대인의 정서적 안정과 감정적 회복을 가능하게 할 수 있다는 가설에 기반했다."
군 부적응 병사의 외래병동과 폐쇄병동 병사 간의 나무그림 반응특성 비교 연구,2015.12,"본 연구는 군 부적응으로 치료를 받고 있는 병사 중 외래병동과 폐쇄병동에 있는 병사 간 나무그림 반응특성에 차이가 있는지를 알아본 것이다.  연구대상은 국군 A병원의 정신과에 2012년부터 2013년까지 군 부적응 치료 대상자 중 외래병동 54명, 폐쇄병동에 입원한 병사 81명을 대상으로 실시하였으며, 나무그림검사의 채점지표는 Koch(1952/1985)와 高矯雅春(1989)과 나무그림검사의 해석기준을 형식적 분석 28문항과 내용적 분석 18문항으로 구성하여 외래병동과 폐쇄병동 간 나무그림의 반응특성을 알아보기 위하여 교차분석을 실시하였다.  본 연구에서 얻은 결과는 다음과 같다.  첫째, 나무의 형식적인 분석에서 필압, 잎의 수, 그루터기 유무, 음영유무, 수피유무, 부착물, 주변 환경묘사, 기저선 유무, 가지를 제외한 수관 내부 추가 묘사가 통계적으로 유의미하게 나타났다.  둘째, 나무의 내용적 분석에서 바람유무, 생존여부, 나무강도, 상흔생성, 마음에 드는지가 통계적으로 유의미하게 나타났다."
길그림을 활용한 아동학대 행위자의 상담 경험연구,2023.12,
인공지능 객체검출모델 기반 집-나무-사람(HTP) 그림검사의 형식적 해석 연구,2023.10,"이후 미술치료 전문가가 모델에 HTP 검사 이미지를 입력하였을 때 나온 형식적 해석 결과를 보고 해당 모델의 타당도를 측정하였다.  평균 타당도는 79%로 나타났다.  추후 다양한 학습 데이터를 추가하여 모델의 정확도를 높이고 더욱 세분된 해석을 추가한다면, 미술치료사들의 투사적 검사 신뢰도를 보완하는 HTP 검사의 형식적 해석 모델이 개발될 것으로 기대된다.  이러한 연구결과를 바탕으로 본 연구의 의의와 제한점에 대하여 논의하였다. The HTP test is today's representative projective drawing test."
외상경험 대학생을 위한 비주얼저널 프로그램 개발 및 효과,2023.10,
학대 피해 여성의 자발적 그림으로 본 생애사 연구,2023.10,
손상기 작품에 나타난 실존적 의미의 치유성,2014.2,"특히 <자라지 않는 나무>나 <시들지 않는 꽃>, <공작도시>시리즈는 그 자신의 자아상과 인생관을 반복적으로 대변해 주는 소재로 그림이라는 매체를 통해서 현실의 갈등과 긴장 및 노이로제를 해소하고 승화시켰는데, 이는 미술사적 과업의 성취를 넘어서 다분히 미술치료의 효과를 무의식적으로 체험해 낸 사례가 되었다.  그에게 있어서 그림 작업은 그 어떤 것의 대안이 아니라 그것 자체로 유일한 그만의 생존방식이었기 때문에 모든 진실한 내면이 담겨 있는 치유의 장이었다.  따라서 본 연구에서는 손상기의 삶과 작품을 분석함으로써 상처 입은 내면을 어루만지는 그만의 방식과 자신 안에 있는 그림자와 아니마를 의식하고 표현함으로써 참된 자기에로 나아가게 하는 미술작업이 갖는 독특하고 강렬한 실존적 의미인 치료로서의 미술(art as therapy)을 그의 작품에서 재조명하고자 하였다. This study explored the life of the painter Sangki Son who died at the age of 39 and the healing aspects of the existential meaning in his representative paintings.  Son, born in Yeosu, a coastal city, was physically handicapped and weak in his childhood, which was traumatic to him."
발테그 검사(Wartegg Test)의 국내․국외 연구 동향 분석,2023.6,
방 그림의 투사검사 개발을 위한 기초연구-화가들의 방 그림과 대학생의 방 그림을 중심으로,2023.3,
한센병을 가진 여성 노인의 삶의 경험에 관한 예술기반 생애사 연구,2023.2,
의료진의 직무소진과 회복탄력성에 따른 빗속의 사람 그림검사 활용가능성,2023.2,
성인 애착 유형 평가를 위한 애착 투사 그림검사(AAP) 타당화 연구,2022.8,
결혼이주여성의 문화적응 스트레스와 자기효능감에 따른 빗속의 사람 그림검사 활용가능성,2022.8,
투사적 그림검사로서의 장미덤불시각화 기법의 활용 가능성 연구: 일반청소년과 학교부적응 청소년의 반응특성 비교,2022.8,
가족 관련 투사그림검사 반응특성 연구동향: 2000년~2021년 국내논문을 중심으로,2022.8,
청소년의 예술적 소양이 창의성에 미치는 영향,2022.4,
초등학교 고학년생 스마트폰 과의존 수준에 따른 모자화 반응차이,2022.2,
성인여성의 우울 성향 선별을 위한 얼굴자극그림검사(FSA) 타당화 연구,2022.2,
제주4․3을 경험한 여성 생존자의 그림 표현 사례 연구,2021.10,
Adler 개인심리학을 바탕으로  '나와 세상과 관계 맺기'에 관한 존재론적 탐구,2021.1,"탐구의 과정은 Adler 개인심리학의 초기 기억과 가족구도를 통해 원 가족과 현 가족을 만났고, 정신 분석가와 미술치료사를 만난 후 몸과 마음이 가는대로 글과 그림을 작업하고 머물렀다.  이 모든 개인 저널과 작업물들은 해석과 분석을 통해 주제별로 묶고 해체하는 과정을 반복하였다.  그 결과 나의 정체성과 생활양식들을 찾고, 엇박자로 뒤틀린 관계의 갈등을 '함께' 발맞추어 갈 용기를 갖게 되었다.  그 과정 안에서 미술작업은 나를 충분히 퇴행시키고, 치유의 손으로 나를 어루만져 주었다. Starting with a question about the symbolism of a girl appearing repeatedly in the painting, this quest unraveled the identity of “I” within the relationship with the world from the moment of conception and the journey of change in the relationship through existential inquiry."
자화상을 통해 본 빈센트 반 고흐와 에드바르드 뭉크의 내면표현에 관한 비교연구,2021.1,
"유아의 색채선호 경향과 색채선호에 따른 정서지능, 창의성의 차이 연구",2021.1,
대학생의 색선호도가 낙관성에 미치는 영향에서 자아방어기제의 조절효과,2021.1,
중년여성의 우울과 회복탄력성에 따른  이야기그림검사 반응특성 연구,2021.1,
자극그림을 활용한 그림검사의 국내 연구 동향 분석,2021.1,
투사검사로서의 손검사에 관한 문헌 연구,2021.1,
청소년의 자아존중감과 얼굴자극평가(FSA) 반응 특성의 관계,2021.1,
중년기 기혼여성의 부부친밀감과 삶의 만족에 따른  모자화 반응특성 연구,2021.1,
아동의 공격성 예측 도구로서의 손검사,2021.1,
죽음불안을 가진 아버지의 삶의 수용에 관한 내러티브 탐구,2020.1,"가족 간 미술치료를 통해 탐구자와 아버지의 관계를 들여다보면서 남은 인생의 삶을 수용하는 가운데 미술치료가 주는 의미를 탐구하고자 하였다.  탐구기간은 총 16회기 미술치료를 진행하였으며 일주일에 한번씩, 1회기는 60분에서 1시간30분으로 유연성 있게 진행하였다.  본 탐구는 아버지의 체험을 '있는 그대로' 봄으로써 실존적이고 질적인 변화에 주목하고자 내러티브 탐구를 실시하였다.  그 결과 아버지의 미술치료 활동 과정에서 경험한 내용은 '나는 내 이름 하나 밖에 없었다', '나에게 돌아갈 집이 생겼구나', '죽음은 어디든 존재한다', '훨훨 자유로운 갈매기가 되어'라는 4개의 의미를 생성하였다.  미술치료는 아버지에게 삶을 회상하면서 즐거움과 유년시절과 접촉하면서 새로운 경험을 하였으며 죽음 또한 자신의 삶임을 수용하였다."
아버지와의 진정한 만남에 관한 존재론적 탐구 -가족관계 회복의 여정-,2020.1,"자전적 탐구와 함께 아버지가 존재하는 삶의 현장으로 들어가, 밭에서 함께 일하기도 하고 종교생활에 동행하며 일상을 관찰하고, 심층면담과 인공물 수집에 주력하여 탐구하고, 대화적 관계맺음과 미술작업을 통해 다면적인 관찰과 소통을 시도했다.  면담내용을 녹취하고, 탐구노트를 통해 면담과 관찰에서 나타나는 현상들을 기록하고, 가족들의 SNS상의 진술도 참고하였다.  나와 아버지의 만남의 여정은 '대화적 관계맺음으로 가족의 본래성을 회복'하고 '근본적 치유의 힘으로 존재의 집에 안착'하고 '미디어로 시․공을 초월한 가족공유의 호흡'을 누리게 되는 성과를 얻었다.  나와 아버지는 만남의 여정에서 봄을 여는 열쇠를 얻게 되었고 나의 원가족은 따스한 빛으로 가득한 봄의 문을 열었다. This study explored my journey to discover the significance of life and to subjectively encounter my father's life, which was part of my life."
"조현병 환자, 치매 노인과 일반 노인의 얼굴자극평가(FSA) 반응특성",2020.1,
성인여성의 우울 수준에 따른 얼굴자극평가법(FSA) 반응 차이 연구,2020.1,
병원전산실 종사자의 직무스트레스 및 대처 방식과 '빗속의 사람 그림검사' 반응특성 연구,2020.1,
청소년의 문제해결력과 무인도그림 검사의 관계,2020.1,
청소년의 교우관계 선별을 위한 모자화(Mother-and-child drawings) 타당화 연구,2020.1,
한국 문인화 작품에 담긴 치유적 의미에 관한 고찰,2019.1,"본 연구는 한국의 문인화 작품의 분석을 통해 문인화를 미술치료에서 활용할 수 있는 치유적 가치를 찾는데 목적이 있다.  이를 위해 조선시대 문인사대부들이 시와 글씨, 그림으로 자기표현을 촉진시켰던 사상적 배경과 작품 속에 담긴 의미를 해석하고자 한다.  조선시대 문인사대부들은 일상생활에서 시를 짓고 그림을 그리는 것을 즐겨하며 예술을 통해 심신의 수양을 하고자 하였다.  한국의 문인화가 문인사대부들에 의해 향유되었지만 문인화를 그들의 전유물로만 볼 수 없는 것은 그들이 문인화를 통해 추구하려 했던 가치가 자기성숙을 이루기 위함 이였다.  이것이 미술치료에서 문인화를 주목해야 하는 이유이다."
풍경구성기법에 대한  그림평가보고서 자동생성시스템 구안,2019.1,"본 논문에서는 그림검사 분석에 대한 신뢰도 확보와 미술치료사의 업무량 감소를 위해 풍경구성기법의 그림 평가지표로부터 자연언어로 작성된 평가보고서를 자동 생성하는 시스템을 제시한다.  본 시스템을 위해 풍경구성기법의 평가지표 구성, 해석지표 지식베이스 구축, 자연언어 처리를 통한 감정분석 및 자연스러운 문장을 생성하였다.  본 시스템을 통해 도출한 결과는 다음과 같다.  첫째, 문헌과 연구결과를 바탕으로 한 지식베이스 구축으로 동일한 그림에 대해 동일한 해석을 제시하여 그림검사에 대한 객관성 문제를 해결하였다.  둘째, 그림검사에 대한 평가보고서를 자동으로 생성하여 치료사의 업무량을 감소시킬 수 있었다."
대학생의 우울 수준에 따른 빗속의 사람 그림(DAPR) 반응특성 연구,2019.1,"따라서 DAPR은 미술치료 현장에서 대학생 우울의 정보를 제공하는 투사그림검사로써 유용할 것으로 기대한다. Purpose of this study was to identify the relationship between DAPR(Draw A Person in the Rain) and depression and to verify the reaction to DAPR and its predictive ability according to the level of depression.  For this study, 150 college students in ChungBuk province were chosen for cluster sampling, with 25 representing the depression group and 25 depicting the non-depression group according to Beck's BDI(Beck Depression Inventory).  Data analysis was performed by Pearson's correlation coefficient, independent sample t-tests, and discriminating analysis.  Depression and DAPR stress scoring showed positive correlation whereas depression DAPR coping resources scoring and DAPR coping ability scoring showed negative correlation The depression group showed significantly higher scores than the non-depression group in the “excess rain, rain touching, gets wet, wind, puddle(s) and standing in puddle(s)” item selections within the stress category."
청소년의 자기효능감 수준에 따른 사과 따는 사람 그림검사 반응 특성 연구,2019.1,"본 연구자를 포함하여 미술치료사 총 3명의 평정자가 채점을 하여 채점자간 신뢰도를 평가하였고, 자기효능감 수준에 따른 사과 따는 사람 그림검사의 반응 특성을 알아보기 위하여 형식척도에서는 독립표본 t검증을, 내용척도에서는 교차분석(x²)을 실시하였다.  연구결과를 살펴보면, 형식척도의 14개 항목 중 총 9개 항목에서 통계적으로 유의미한 차이를 보였으며 내용척도에서는 총 5개 항목에서 통계적으로 유의미한 차이를 보였다.  결과적으로 사과 따는 사람 그림검사가 객관적 도구로 언어적 심리검사를 보완해 줄 수 있는 도구로써 유용하다는 것을 확인하였고, 나아가 청소년의 자기효능감 수준을 알아 볼 수 있는 보조적 진단도구로 활용되기를 기대해본다. The purpose of this study was to examine the relationship between self-efficacy in adolescents and PPAT (Person Picking an Apple From a Tree) assessment by analyzing the characteristics of responses.  Three hundred students studying at B middle school in G-Prvince participated in the self-efficacy and PPAT assessment."
빗속의 사람 그림(DAPR)을 활용한 국내 학술지 연구 동향,2019.1,"본 연구는 미술치료에서 빗속의 사람 그림(DAPR Draw A Person in the Rain)을 활용한 국내 학술지 연구 동향을 분석함으로써 향후 DAPR의 활용성과 발전 방향을 제안하는 기초자료를 마련하는데 그 목적이 있다.  연구대상은 2003년부터 2018년 6월까지 게재된 국내 학술지 70편을 분석하였다.  분석기준은 발표연도별 동향, 연구대상별 동향(발달단계, 개인적 특성, 사례수), 연구주제별 동향, 연구방법별 동향(자료분석 방법, 연구설계, 통계방법, 채점자간 신뢰도)으로 나누었다.  분석자료는 빈도와 백분율을 통해 기술통계를 사용하여 산출하였다.  그 결과는 다음과 같다."
학업스트레스가 높은 초등학교 고학년 아동의 자기효능감 수준에 따른 나무에서 사과 따는 사람 그림(PPAT) 검사 반응 특성,2019.1,
가족 관련 그림검사의 국내 연구 동향:1992년~2017년 발표논문 중심으로,2019.1,
중국동포 성인여성과 한국 성인여성의 '빗속의 사람(PITR)' 그림 반응특성에 따른 스트레스 대처능력에 관한 연구,2019.1,
노인의 외로움과 좋아하는 날씨(FKW) 반응특성 연구,2019.1,
육군 사병의 빗속의 사람 그림 반응특성에 따른 지각된 스트레스와 스트레스 반응 및 정신건강에 관한 연구,2019.1,
온라인 플랫폼의 빅데이터를 활용한 심리상담 및 심리상담사에 대한 사회적 인식,2021.1,"연구 결과, 심리상담 관련 검색자료에서는 '심리', '자격증', '센터', '치료' 등의 단어가 높은 빈도를 보였고, '후기', '의심', '의학' 등의 단어와 높은 연관성을 나타내었다.  심리상담사의 경우는 '심리', '자격증', '취득', '미술' 등의 단어들이 높은 빈도를 보였고, '인간', '소질', '생활' 등과 높은 연관성을 보였다.  토픽모델링을 실시한 결과, '심리상담'은 심리상담의 접근방법에 대한 관심, 상담전문가 자격취득에 대한 관심, 심리상담의 치료양식에 대한 관심, 심리상담의 전문성에 대한 관심, 상담전문가 훈련 및 교육과정에 대한 관심의 5가지 주제가 인터넷 상의 자료를 구성하는 대표적인 주제들로 구분되었다.  또한, '심리상담사'는 심리상담사 자격증 취득에 대한 정보, 미술치료에 대한 관심, 심리상담사의 전문영역 및 대상, 심리상담사 직업에 대한 관심, 심리상담사 자격요건 및 교육과정, 비밀보장과 상담과정에 대한 관심의 6가지 주제가 도출되었다.  연구 결과의 시사점과 한계점을 논의하였다."
성폭력가해자의비주얼 저널쓰기 경험에 관한 내러티브탐구,2018.1,"그리고 연구 참여자의 비주얼 저널을 통한 미술치료 경험의 의미는 '굴러다니는 돌', '서로 다른 시선', '경험한 가짜 전능감', 그리고 'Stand Up'으로 4가지 추출되었다.  비주얼 저널쓰기 경험은 성폭력가해자들이 스스로 인식하지 못했던 자신의 삶의 이야기를 재구성하였고 자신의 문제행동을 통찰할 수 있는 기회가 되었다.  내러티브 탐구를 통한 성폭력가해자의 이해가 개별인간에 대한 이해를 넘어, 재범방지를 위한 성범죄자 치료프로그램이 다양한 방법으로 확대되기를 기대한다. This study aimed to understand the diversity of individual human beings.  By inquiring into participants' life stories, narrative inquiry methodology was used to understand sexual offenders who agreed to participate in this research among imprisoned ones."
중년여성 우울 중재프로그램 국내 연구 동향,2018.1,"셋째, 연구내용은 우울에 대한 중재 연구는 미술치료 영역에서 가장 많이 보고되고 있음을 알 수 있다.  상담이론적 접근 유무는 대부분의 중재프로그램이 상담이론적 미접근으로 나타났다.  넷째, 연구방법에서 연구유형은 양적연구, 연구설계는 단일군설계, 우울검사 도구는 BDI를 많이 사용하는 것으로 나타났다.  총진행회기는 6-10회기, 주당회기는 주1회, 회기시간은 61-90분이 많았다.  다섯째, 연구자 전공의 경우 교육ㆍ상담ㆍ심리전공자가 가장 많았다."
색채선호와 심리적 성향과의 관계 연구 -노란색 선호를 중심으로-,2018.1,
에곤 실레의 자화상 분석-라캉의 응시 개념을 중심으로,2018.1,
청소년의 사회적 문제해결력 예측을 위한 사과 따는 사람 그림검사(PPAT) 타당화 연구,2018.1,
남자 중학생의 자아분화에 따른 발테그 그림검사(WZT)의 반응특성 연구 : Bowen의 자아분화 중 가족역동을 중심으로,2018.1,
사고를 경험한 지하철 기관사의 외상후 스트레스와 자아탄력성에 따른 이야기 그림검사 반응특성,2018.1,
청소년 애착수준 평가도구로서의 모자화의 활용가능성,2018.1,
DAP를 활용한 노인 인물화에서의 세대 간 반응차이 연구,2018.1,
분석심리학적 관점으로 본 마크 로스코 회화의 색채상징과 치유적 의미,2017.12,
투사그림검사에 대한 국내 연구동향 - 국내 학술지 논문을 중심으로 -,2017.12,
자기치유적 관점에서 본 월전 장우성의 문인화 작품연구,2017.10,
청소년의 모자화(Mother and Child Drawings) 반응특성과 자기효능감에 관한 연구,2017.10,
만다라 경험을 통한 치매를 겪는 어머니의 삶에 관한 탐구,2017.10,
Melanie Klein의 관점에서 본 니키 드 생팔의 작품세계,2017.8,
아동의 애착수준 평가도구로서의 모자화의 활용가능성,2017.8,
아동기 정서적 학대경험을 가진 성인여성의 '모자날씨그림(DWMC)'의 반응특성연구,2017.8,
정신분석적 관점에서 본 살바도르 달리(Salvador Dali)의 편집증적 비평방법시기의 회화작품연구,2017.6,
천경자의 뱀을 주제로 한 작품에서 드러나는 승화와 자기치유적 의미에 대한 고찰,2017.6,
소아외상후스트레스장애에서 그림이야기 검사 반응특성 - 소아화상환자에서 -,2017.6,
학령후기 아동의 정서?행동문제 및 특성분노의 예측변인으로서 DAS(Draw-a-Story) 그림검사 반응특성,2017.6,
대학생의 스트레스 대처수준에 따른 PPAT 그림검사 반응 특성,2017.4,
대학생활 적응수준에 따른 풍경구성기법(LMT)의 반응특성 비교,2017.4,
초등학생의 정서행동문제와 이야기 그림검사(DAS) 반응특성에 관한 연구,2017.4,
치매선별도구로서 얼굴자극평가(FSA)의 활용가능성 연구,2017.4,
대학 운동선수의 스트레스 및 우울 수준에 따른 '빗속의 사람(PITR)'그림 반응특성 연구,2017.2,
Bridge Drawing검사에 나타난 진로결정 자기효능감에 관한 연구 - 대학신입생을 중심으로 -,2017.2,
LMT의 PDI 반응특성에 관한 연구,2017.2,
조현병 환자의 정신증상완화를 위한 만다라 명상프로그램의 적용,2016.12,"연구 대상은 입원 중인 24명의 조현병 환자를 대상으로 실험군 12명은 연구동의에 의해 만다라명상프로그램에 주 1회 참석하였고, 대조군 12명은 병원 계획에 의해 치료를 받고 있었다.  프로그램 효과 측정은 실험, 대조군에서 정신증상, 우울의 척도 변화로 관찰하고, 실험군에서 만다라를 분석하는 것으로, 프로그램의 효과 검증을 하였다.  연구결과를 보면 정신증상은 유의한 감소를(F = 3. 85, p< . 05), 그리고 실험군에서 우울증상의 감소(F = 5."
대학생의 우울과 발테그 그림검사(WZT)의 반응특성에 관한 연구,2016.12,
"병원장면에서 이야기 그림검사(Draw-A-Story)의 선별도구로서의 유용성- 임상집단(우울장애, 조현병)과 비임상집단 중심으로 -",2016.12,
초등학생의 우울사정도구로서의 나무검사(Baum test)의 활용가능성 탐색,2016.12,
성격유형에 따른 대학생의 HTP 반응특성 연구 - 사람그림을 중심으로 -,2016.10,"미술치료박사과정 수료생 3명이 이를 분석한 결과 빈도수가 15% 이상 나타난 항목들을 선정하였으며 기존문헌을 토대로 분석 기준표를 작성하였다.  연구대상자는 서울, 경기, 영남, 호남, 충청, 강원권에 위치한 11개 대학의 대학생들로 이들은 임의표집방법에 의해서 표집되었다.  검사는 2015년 3월 3일부터 23일까지 NEO-II 인성검사와 HTP 검사를 실시, 783부를 분석에 활용하였다.  HTP 에 대한 3명의 평정자간 일치도는 r=. 97로 나타났다."
대학생의 진로준비행동 향상을 위한 콜라주 진로집단상담 프로그램의 효과,2016.10,
현역병의 우울 및 군생활적응 정도에 따른 사과따는 사람(PPAT) 그림검사 반응특성 연구,2016.10,
조현병환자와 지적장애인의 변별도구로서의 LMT,2016.10,
